N, V, Time (ms)
1000000, 2, 71.9899
1000000, 4, 76.4076
1000000, 8, 71.0047
1000000, 16, 81.1759
1000000, 32, 65.992
1000000, 64, 71.4347
1000000, 128, 69.9371
1000000, 256, 69.3462
