N, V, Time (ms)
100000, 2, 6.26416
100000, 4, 7.76159
100000, 8, 8.88209
100000, 16, 8.77678
100000, 32, 7.91149
100000, 64, 8.1083
100000, 128, 6.6666
100000, 256, 6.04607
