N, V, Time (ms)
10000, 2, 0.673444
10000, 4, 0.989322
10000, 8, 0.730593
10000, 16, 0.783715
10000, 32, 0.711071
10000, 64, 0.623421
10000, 128, 0.721476
10000, 256, 0.72643
