N, V, Time (ms)
10000000, 2, 654.295
10000000, 4, 677.819
10000000, 8, 715.682
10000000, 16, 743.845
10000000, 32, 620.321
10000000, 64, 640.789
10000000, 128, 630.716
10000000, 256, 655.888
